Target Schema,Query Attribute,Matched Attribute,Confidence Score,Match Type
Mpox,purpose_of_sampling,purpose_of_sampling,100.0%,Exact
Mpox,caseid,case_id,92.3%,Fuzzy
Mpox,prior_mpox_infection_date,prior_mpox_infection_date,100.0%,Exact
Mpox,related_specimen_relationship_type,related_specimen_relationship_type,100.0%,Exact
Mpox,exposure_contact_level,exposure_contact_level,100.0%,Exact
Mpox,gene_name_4,gene_name_4,100.0%,Exact
Mpox,consensus_sequence_filepath,consensus_sequence_filepath,100.0%,Exact
Mpox,gene_name_3,gene_name_3,100.0%,Exact
Mpox,sample_collector_contact_email,sample_collector_contact_email,100.0%,Exact
Mpox,library_id,library_id,100.0%,Exact
Mpox,sequenced_by_contact_address,sequenced_by_contact_address,100.0%,Exact
Mpox,sequenced_by,sequenced_by,100.0%,Exact
Mpox,reference_genome_accession,reference_genome_accession,100.0%,Exact
Mpox,most_recent_travel_departure_date,most_recent_travel_departure_date,100.0%,Exact
Mpox,exposure_details,exposure_details,100.0%,Exact
Mpox,host_age,host_age,100.0%,Exact
Mpox,r2_fastq_filename,r2_fastq_filename,100.0%,Exact
Mpox,sequencing_date,sequencing_date,100.0%,Exact
Mpox,fast5_filename,fast5_filename,100.0%,Exact
Mpox,related_specimen_primary_id,related_specimen_primary_id,100.0%,Exact
Mpox,collection_method,collection_method,100.0%,Exact
Mpox,isolate_id,isolate_id,100.0%,Exact
Mpox,r1_fastq_filename,r1_fastq_filename,100.0%,Exact
Mpox,diagnostic_pcr_ct_value_4,diagnostic_pcr_ct_value_4,100.0%,Exact
Mpox,purpose_of_sequencing_details,purpose_of_sequencing_details,100.0%,Exact
Mpox,bioproject_accession,bioproject_accession,100.0%,Exact
Mpox,sequencing_protocol,sequencing_protocol,100.0%,Exact
Mpox,host_gender,host_gender,100.0%,Exact
Mpox,host_health_status_details,host_health_status_details,100.0%,Exact
Mpox,dataharmonizer_provenance,dataharmonizer_provenance,100.0%,Exact
Mpox,preexisting_conditions_and_risk_factors,preexisting_conditions_and_risk_factors,100.0%,Exact
Mpox,sample_collected_by,sample_collected_by,100.0%,Exact
Mpox,sequence_submitted_by,sequence_submitted_by,100.0%,Exact
Mpox,consensus_genome_length,consensus_genome_length,100.0%,Exact
Mpox,prior_antiviral_treatment_during_prior_mpox_infection,prior_antiviral_treatment_during_prior_mpox_infection,100.0%,Exact
Mpox,depth_of_coverage_value,depth_of_coverage_value,100.0%,Exact
Mpox,most_recent_travel_return_date,most_recent_travel_return_date,100.0%,Exact
Mpox,gene_name_2,gene_name_2,100.0%,Exact
MpoxInternational,specimen_processing,specimen_processing,100.0%,Exact
MpoxInternational,sequencing_kit_number,sequencing_kit_number,100.0%,Exact
MpoxInternational,anatomical_material,anatomical_material,100.0%,Exact
MpoxInternational,insdc_assembly_accession,insdc_assembly_accession,100.0%,Exact
MpoxInternational,bioinformatics_protocol,bioinformatics_protocol,100.0%,Exact
MpoxInternational,specimen_collector_sample_id,specimen_collector_sample_id,100.0%,Exact
MpoxInternational,organism,organism,100.0%,Exact
MpoxInternational,host_residence_geo_loc_name_country,host_residence_geo_loc_name_country,100.0%,Exact
MpoxInternational,geo_loc_name_country,geo_loc_name_country,100.0%,Exact
MpoxInternational,sequencing_instrument,sequencing_instrument,100.0%,Exact
MpoxInternational,library_preparation_kit,library_preparation_kit,100.0%,Exact
MpoxInternational,diagnostic_pcr_ct_value_1,diagnostic_pcr_ct_value_1,100.0%,Exact
MpoxInternational,host_scientific_name,host_scientific_name,100.0%,Exact
MpoxInternational,sample_received_date,sample_received_date,100.0%,Exact
MpoxInternational,consensus_sequence_software_version,consensus_sequence_software_version,100.0%,Exact
MpoxInternational,consensus_sequence_software_name,consensus_sequence_software_name,100.0%,Exact
MpoxInternational,prior_mpox_infection,prior_mpox_infection,100.0%,Exact
MpoxInternational,geo_loc_name_state_province_territory,geo_loc_name_state_province_territory,100.0%,Exact
MpoxInternational,experimental_specimen_role_type,experimental_specimen_role_type,100.0%,Exact
MpoxInternational,dehosting_method,dehosting_method,100.0%,Exact
MpoxInternational,host_role,host_role,100.0%,Exact
MpoxInternational,sample_collector_contact_address,sample_collector_contact_address,100.0%,Exact
MpoxInternational,location_of_exposure_geo_loc_name_country,location_of_exposure_geo_loc_name_country,100.0%,Exact
MpoxInternational,host_age_unit,host_age_unit,100.0%,Exact
MpoxInternational,exposure_event,exposure_event,100.0%,Exact
MpoxInternational,biosample_accession,biosample_accession,100.0%,Exact
MpoxInternational,travel_history,travel_history,100.0%,Exact
MpoxInternational,number_of_vaccine_doses_received,number_of_vaccine_doses_received,100.0%,Exact
